#
#  gcf_000012905cyc 28.1 Pathways link table generated on Tue Jul 23, 2024
#
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)	vitamin B<sub>1</sub> biosynthesis III	thiamin diphosphate biosynthesis III (Staphylococcus)
FERMENTATION-PWY	mixed acid fermentation	fermentation
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	vitamin K<sub>2</sub> biosynthesis I	menaquinone-8 biosynthesis
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	
PWY-4381	fatty acid biosynthesis initiation (bacteria and plants)	de novo fatty acid biosynthesis, initial reactions
CYSTSYN-PWY	L-cysteine biosynthesis I	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	protocatechuate branch of the 3-oxoadipate pathway	protocatechuate branch of the 3-ketoadipate pathway	protocatechuate branch of the &beta;-ketoadipate pathway	protocatechuate degradation via ortho-cleavage	protocatechuate degradation via the &beta;-ketoadipate pathway	protocatechuate 3,4-cleavage
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	superpathway of acetic acid utilization and formation
PWY-5686	UMP biosynthesis I	uridine-5'-phosphate biosynthesis I	<i>de novo</i> biosynthesis of uridine-5'-phosphate I	<i>de novo</i> biosynthesis of uridine-5'-monophosphate I
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	
PWY-1641	methane oxidation to methanol I	methanotrophy
SERSYN-PWY	L-serine biosynthesis I	
CRNFORCAT-PWY	creatinine degradation I	creatinine catabolism
PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	
PWY0-501	lipoate biosynthesis and incorporation I	
PWY-5964	guanylyl molybdenum cofactor biosynthesis	MGD biosynthesis	molybdopterin guanine dinucleotide biosynthesis
PWY-6780	hydrogen production VI	
HISTSYN-PWY	L-histidine biosynthesis	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
PWY0-321	phenylacetate degradation I (aerobic)	
PWY-4101	D-sorbitol degradation I	sorbitol utilization
GLUTSYNIII-PWY	L-glutamate biosynthesis III	
PWY-3982	uracil degradation I (reductive)	&beta;-alanine biosynthesis
PPGPPMET-PWY	ppGpp metabolism	guanosine 3'-diphosphate 5'-diphosphate biosynthesis	ppGpp biosynthesis
PWY-5675	nitrate reduction V (assimilatory)	nitrate assimilation
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	ubiquinone-8 biosynthesis (prokaryotic)
PROPIONMET-PWY	propanoyl CoA degradation I	propionyl CoA degradation I
VALSYN-PWY	L-valine biosynthesis	
PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	<i>Co</i>&alpha;-[a-(adenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP	pseudo-adenosyl cobamide biosynthesis from adenosylcobinamide-GDP
P483-PWY	phosphonoacetate degradation	phosphonoacetate metabolism	phosphonoacetic acid degradation
ASPARTATE-DEG1-PWY	L-aspartate degradation I	
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDP-L-fucose biosynthesis I (<i>de novo</i> synthesis)
P163-PWY	L-lysine fermentation to acetate and butanoate	3-keto-5-aminohexanoate pathway	L-lysine fermentation to acetate and butyrate	L-lysine fermentation to acetic acid and butanoic acid
GLUTAMINEFUM-PWY	L-glutamine degradation II	
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	
NADSYN-PWY	NAD <i>de novo</i> biosynthesis II (from tryptophan)	nicotinamide adenine dinucleotide biosynthesis
PWY-7228	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	
PWY-7344	UDP-&alpha;-D-galactose biosynthesis	UDP-D-galactose biosynthesis
PWY-6517	<i>N</i>-acetylglucosamine degradation II	
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
PWY-2661	trehalose biosynthesis V	
PWY-5670	epoxysqualene biosynthesis	
PWY-6609	adenine and adenosine salvage III	adenosine nucleotides salvage III
PWY-6420	pyrroloquinoline quinone biosynthesis	PQQ biosynthesis
TYRSYN	L-tyrosine biosynthesis I	
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer	
PWY-2622	trehalose biosynthesis IV	
GLYSYN-ALA-PWY	glycine biosynthesis III	
P283-PWY	hydrogen oxidation I (aerobic)	
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (E. coli)	lipid-A-precursor biosynthesis (<i>E. coli</i>)
PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation	
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-adenosylmethionine biosynthesis
PWY-6581	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	4-HPA degradation	homoprotocatechuate degradation	4-hydroxyphenylacetic acid degradation
PWY-5482	pyruvate fermentation to acetate II	pyruvic acid fermentation to acetic acid II
PWY-6107	chlorosalicylate degradation	4-chlorosalicylate degradation	5-chlorosalicylate degradation
CENTFERM-PWY	pyruvate fermentation to butanoate	central fermentation pathway	acetobutylicum fermentation	pyruvate fermentation to butyrate	pyruvic acid fermentation to butanoic acid
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)	anaerobic L-phenylalanine oxidation
PWY0-1319	CDP-diacylglycerol biosynthesis II	
XYLCAT-PWY	D-xylose degradation I	D-xylose catabolism
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)	DMSP degradation	dimethylsulfoniopropionate degradation I (cleavage)
PWY-6184	methylsalicylate degradation	
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	pyridine nucleotide cycling	nicotinamide adenine dinucleotide salvage
PWY1-3	polyhydroxybutanoate biosynthesis	PHB biosynthesis	polyhydroxybutyrate biosynthesis
PWY-7181	pyrimidine deoxyribonucleosides degradation	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
PWY-5918	superpathway of heme <i>b</i> biosynthesis from glutamate	
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
CALVIN-PWY	Calvin-Benson-Bassham cycle	photosynthetic dark reactions	photosynthetic CO<SUB>2</SUB> fixation	reductive pentose phosphate pathway	Calvin cycle	photosynthesis - dark reaction	carbon fixation	Calvin-Benson cycle
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	<i>N</i><sup>10</sup>-formyl-THF biosynthesis	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
PWY-6608	guanosine nucleotides degradation III	
PWY-7691	10,13-epoxy-11-methyl-octadecadienoate biosynthesis	
PWY-7279	aerobic respiration II (cytochrome c) (yeast)	
PWY0-1314	fructose degradation	
IDNCAT-PWY	L-idonate degradation	L-idonic acid catabolism	L-idonate catabolism
PWY-5971	palmitate biosynthesis II (bacteria and plant cytoplasm)	
PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer	
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II	methylthioadenosine degradation II
PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I	
PWY-7343	UDP-&alpha;-D-glucose biosynthesis I	UDP-D-glucose biosynthesis I
PWY-5420	catechol degradation II (<I>meta</I>-cleavage pathway)	4-oxalocrotonate pathway
PWY-7387	hypotaurine degradation	
GLUTSYN-PWY	L-glutamate biosynthesis I	
PWY-7096	triclosan resistance	
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	
PWY-1263	taurine degradation I	
RIBITOLUTIL-PWY	ribitol degradation	
PWY-5177	glutaryl-CoA degradation	
PWY0-1296	purine ribonucleosides degradation	
PWY-6897	thiamine salvage II	thiamin salvage II
PWY-5521	L-ascorbate biosynthesis III	L-ascorbic acid biosynthesis III	vitamin C biosynthesis
PWY-8072	alanine racemization	
PWY-6543	4-aminobenzoate biosynthesis	pABA biosynthesis	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	activated methyl cycle	SAM cycle
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	CoA biosynthesis
PWY-6286	spheroidene and spheroidenone biosynthesis	
GALACTUROCAT-PWY	D-galacturonate degradation I	D-galacturonate catabolism	D-galacturonate degradation
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	
PHESYN	L-phenylalanine biosynthesis I	
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	
AST-PWY	L-arginine degradation II (AST pathway)	L-arginine succinyltransferase pathway	AST pathway	ammonia-producing L-arginine catabolic pathway	L-arginine catabolism
CITRULLINE-DEG-PWY	L-citrulline degradation	
CARNMET-PWY	L-carnitine degradation I	
PWY-6826	phosphatidylcholine biosynthesis VI	PCS pathway
PWY-1281	sulfoacetaldehyde degradation I	
P641-PWY	phenylmercury acetate degradation	
PWY-6899	base-degraded thiamine salvage	formylaminopyrimidine salvage	base-degraded thiamin salvage
PWY-4261	glycerol degradation I	
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	FPP biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
P222-PWY	sulfide oxidation I (to sulfur globules)	
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)	pyruvic acid decarboxylation to acetyl CoA	pyruvate dehydrogenase system
PWY-5941	glycogen degradation II	glycogenolysis II
N2FIX-PWY	nitrogen fixation I (ferredoxin)	hydrogen production VII
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>)	lipid-A-precursor biosynthesis (<i>P. putida</i>)
GLUTORN-PWY	L-ornithine biosynthesis I	
GLYSYN-PWY	glycine biosynthesis I	
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	glyoxylate degradation
PWY-7185	UTP and CTP dephosphorylation I	pyrimidine nucleotides dephosphorylation
LEU-DEG2-PWY	L-leucine degradation I	
PWY0-1312	acetate and ATP formation from acetyl-CoA I	acetic acid formation from acetyl-CoA I
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
PWY-7395	D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	
MANNCAT-PWY	D-mannose degradation	mannose degradation
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	
PWY0-1335	NADH to cytochrome <i>bo</i> oxidase electron transfer I	
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	
PWY-8086	(<i>S</i>)-lactate fermentation to propanoate, acetate and hydrogen	
PWY-5415	catechol degradation I (<I>meta</I>-cleavage pathway)	
PWY-5973	<i>cis</i>-vaccenate biosynthesis	<i>cis</i> vaccenic acid acid biosynthesis
TRNA-CHARGING-PWY	tRNA charging	
PWY-6353	purine nucleotides degradation II (aerobic)	purine nucleotides catabolism
KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> I (E. coli)	
PWY-7310	D-glucosaminate degradation	
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
PWY-7560	methylerythritol phosphate pathway II	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
GALACTCAT-PWY	D-galactonate degradation	D-galactonate catabolism
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UDP-&alpha;-D-glucuronate biosynthesis	UDP-glucuronic acid biosynthesis (from UDP-glucose)	UDP-GlcA biosynthesis
P542-PWY	choline-<i>O</i>-sulfate degradation	choline sulfate degradation
THRESYN-PWY	superpathway of L-threonine biosynthesis	
PWY-5350	thiosulfate disproportionation IV (rhodanese)	
TRPCAT-PWY	L-tryptophan degradation I (via anthranilate)	anthranilate pathway
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWY-7356	thiamine salvage IV (yeast)	thiamin salvage IV (yeast)
PWY-5695	inosine 5'-phosphate degradation	IMP degradation	urate biosynthesis
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	folic acid salvage	folate salvage	THF salvage
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
PWY-6535	4-aminobutanoate degradation I	&gamma;-amino-butyrate shunt	GABA degradation	4-aminobutyrate degradation I	4-aminobutanoic acid degradation I
PWY0-981	taurine degradation IV	
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	
PWY-5741	ethylmalonyl-CoA pathway	ethylmalonyl pathway
GLUTAMINDEG-PWY	L-glutamine degradation I	
PWY-6620	guanine and guanosine salvage	
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	
PWY-4984	urea cycle	Krebs ornithine cycle	Krebs-Henseleit cycle
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)	DMB biosynthesis I
PWY-5120	geranylgeranyl diphosphate biosynthesis	GGPP biosynthesis
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)	
FAO-PWY	fatty acid &beta;-oxidation I (generic)	
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)	
PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	adenosyl-factor A biosynthesis from adenosylcobinamide-GDP	<i>Co</i>&alpha;-[a-(2-methyladenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-4722	creatinine degradation II	
GLYCINE-SYN2-PWY	glycine biosynthesis II	
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	vitamin B<sub>6</sub> biosynthesis	deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
PWY-5920	superpathway of heme <i>b</i> biosynthesis from glycine	
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	
ILEUDEG-PWY	L-isoleucine degradation I	
TRPSYN-PWY	L-tryptophan biosynthesis	
PWY-6902	chitin degradation II (Vibrio)	
PWY-8088	dipicolinate biosynthesis	dipicolinic acid biosynthesis
THREONINE-DEG2-PWY	L-threonine degradation II	threonine dehydrogenase pathway	TDG pathway
HOMOSERSYN-PWY	L-homoserine biosynthesis	
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	
PWY-7194	pyrimidine nucleobases salvage II	cytosine salvage
PWY-6430	thymine degradation	uracil degradation (reductive)
PWY-3001	superpathway of L-isoleucine biosynthesis I	
PWY-6599	guanine and guanosine salvage II	
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY-6606	guanosine nucleotides degradation II	
PWY66-21	ethanol degradation II	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
PWY-5849	menaquinol-6 biosynthesis	vitamin K<sub>2</sub> biosynthesis	MK-6 biosynthesis	menaquinone-6 biosynthesis
THIOREDOX-PWY	thioredoxin pathway	
PWY-7790	UMP biosynthesis II	uridine-5'-phosphate biosynthesis II	<i>de novo</i> biosynthesis of uridine-5'-phosphate II	<i>de novo</i> biosynthesis of uridine-5'-monophosphate II
PWY0-1534	hydrogen sulfide biosynthesis I	
P221-PWY	octane oxidation	
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation	D-glucuronate catabolism	D-glucuronate degradation	glucuronic acid degradation	glucuronate degradation	&beta;-D-glucuronide degradation
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	L-arginase degradative pathway	L-glutamate biosynthesis
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I	
PWY0-1561	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	
PROUT-PWY	L-proline degradation	L-proline utilization
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
PWY0-1581	nitrate reduction IX (dissimilatory)	glycerol-3-phosphate to nitrate electron transfer
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)	IAA biosynthesis V (bacteria and fungi)	indole-3-acetic acid biosynthesis V (bacteria and fungi)
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
PWY-46	putrescine biosynthesis III	ODC pathway
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	
PWY-3781	aerobic respiration I (cytochrome c)	
PWY-6901	superpathway of glucose and xylose degradation	
PWY0-1313	acetate conversion to acetyl-CoA	acetic acid conversion to acetyl-CoA
PWY-6795	diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis	betaine lipid biosynthesis
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)	IAA biosynthesis IV (bacteria)	indole-3-acetic acid biosynthesis IV (bacteria)
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)	
PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transfer II	
PWY-7208	superpathway of pyrimidine nucleobases salvage	
PWY-6932	selenate reduction	selenium metabolism	selenium assimilation
PWY-5344	L-homocysteine biosynthesis	
DETOX1-PWY-1	reactive oxygen species degradation	removal of superoxide radicals
SALVPURINE2-PWY	xanthine and xanthosine salvage	
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	purine ribonucleotide/ribonucleoside metabolism
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	vitamin B<sub>6</sub> biosynthesis and salvage
PWY-2161	folate polyglutamylation	
GLUTATHIONESYN-PWY	glutathione biosynthesis	
PWY0-1465	D-malate degradation	
PWY-4621	arsenate detoxification II (glutaredoxin)	
PWY-6825	phosphatidylcholine biosynthesis V	
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	
PWY-7663	gondoate biosynthesis (anaerobic)	<i>cis</i>-11-icosenoate biosynthesis	(11<i>Z</i>)-icos-11-enoate biosynthesis	(11<i>Z</i>)-icosenoate biosynthesis	gondoic acid biosynthesis	11-eicosenoic acid biosynthesis
PWY-7242	D-fructuronate degradation	
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	light-independent aerobic 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
PWY-40	putrescine biosynthesis I	
PWY-6910	hydroxymethylpyrimidine salvage	HMP salvage
TRESYN-PWY	trehalose biosynthesis I	trehalose biosynthesis
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis I (E. coli)	
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	biotin biosynthesis from 7-keto-8-aminopelargonate
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)	
PWY-5064	chlorophyll <i>a</i> biosynthesis II	
PWY-5981	CDP-diacylglycerol biosynthesis III	
P121-PWY	adenine and adenosine salvage I	purine salvage	salvage pathway of adenosine nucleosides	adenosine nucleosides salvage I
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-5162	2-hydroxypenta-2,4-dienoate degradation	2-oxopent-4-enoate degradation	2-ketopentenoate degradation	2-oxopentenoate degradation	(2Z)-2-hydroxypenta-2,4-dienoate degradation
PWY0-1479	tRNA processing	
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex	2-oxoglutarate dehydrogenase system	2-ketoglutarate dehydrogenase system	&alpha;-ketoglutarate dehydrogenase system
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	
P562-PWY	<I>myo</I>-inositol degradation I	
PWY-1881	formate oxidation to CO<sub>2</sub>	
PWY0-1576	hydrogen to fumarate electron transfer	
PWY-5437	L-threonine degradation I	
PWY-1001	cellulose biosynthesis	
PWY-6605	adenine and adenosine salvage II	adenosine nucleosides salvage II
PWY-6019	pseudouridine degradation	
PWY-5485	pyruvate fermentation to acetate IV	pyruvic acid fermentation to acetic acid IV
PWY-5386	methylglyoxal degradation I	
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	L-asparagine - L-aspartate pathway
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY-2361	3-oxoadipate degradation	&beta;-ketoadipate degradation
PWY-6617	adenosine nucleotides degradation III	adenosine ribonucleotide/ribonucleoside metabolism
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis	
PWY-6823	molybdenum cofactor biosynthesis	moco biosynthesis	molybdopterin biosynthesis
PWY-5723	Rubisco shunt	
PWY-6183	salicylate degradation I	
PWY-7180	2-deoxy-&alpha;-D-ribose 1-phosphate degradation	
PWY0-1584	nitrate reduction X (dissimilatory, periplasmic)	periplasmic glycerol-3-phosphate to nitrate electron transfer
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	4-hydroxyphenylpyruvic acid biosynthesis
GLUCONEO-PWY	gluconeogenesis I	
PWY0-1021	L-alanine biosynthesis III	
CHOLINE-BETAINE-ANA-PWY	choline degradation I	choline betaine anabolism
PWYQT-4427	sulfoquinovosyl diacylglycerol biosynthesis	SQDG biosynthesis
PWY-6759	hydrogen production III	
PWY-7750	carbon monoxide oxidation to CO<sub>2</sub>	carboxydotrophy
PWY-7205	CMP phosphorylation	
PWY-5989	stearate biosynthesis II (bacteria and plants)	stearic acid biosynthesis
AMMASSIM-PWY	ammonia assimilation cycle III	ammonia assimilation III	GS/GOGAT pathway
PWY0-1573	nitrate reduction VIIIb (dissimilatory)	NADH to nitrate reductase electron transfer
PWY0-1221	putrescine degradation II	
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation	D-glucuronate catabolism	D-glucuronate degradation	glucuronic acid degradation	glucuronate degradation	&beta;-D-glucuronide degradation
PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer	
GLNSYN-PWY	L-glutamine biosynthesis I	L-glutamine - L-glutamate pathway
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
PWY-5839	menaquinol-7 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-7 biosynthesis
PWY-5766	L-glutamate degradation X	
SERDEG-PWY	L-serine degradation	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-6610	adenine salvage	
TOLUENE-DEG-3-OH-PWY	toluene degradation to 2-hydroxypentadienoate (<I>via 4-methylcatechol</i>)	toluene degradation <I>via</I> 3-hydroxytoluene
PWY-5659	GDP-mannose biosynthesis	
P183-PWY	catechol degradation to 2-hydroxypentadienoate I	catechol degradation, <I>meta</I>-cleavage
